"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-05-19",,,"0.00","0.0","0.0","80","50","61",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-05-20",,,"0.00","0.0","0.0","82","47","55",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-05-21",,,"0.01","0.0","0.0","80","55","59",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-05-22",,,"0.00","0.0","0.0","85","57","64",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-05-23",,,"0.00","0.0","0.0","84","61","75",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-05-24",,,"0.00","0.0","0.0","81","43","53",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-05-25",,,"0.00","0.0","0.0","71","45","58",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-05-26",,,"0.00","0.0","0.0","80","58","72",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-05-27",,,"0.06","0.0","0.0","94","65","71",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-05-28",,,"0.00","0.0","0.0","72","45","49",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-05-29",,,"0.02","0.0","0.0","62","45","46",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-05-30",,,"0.00","0.0","0.0","59","43","53",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-05-31",,,"0.91","0.0","0.0","58","48","52",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-01",,,"0.03","0.0","0.0","61","49","61",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-02",,,"0.00","0.0","0.0","76","49","65",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-03",,,"0.00","0.0","0.0","84","59","69",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-04",,,"0.08","0.0","0.0","77","63","67",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-05",,,"0.00","0.0","0.0","81","59","72",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-06",,,"0.00","0.0","0.0","89","66","78",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-07",,,"0.00","0.0","0.0","91","66","76",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-08",,,"0.00","0.0","0.0","95","70","83",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-09",,,"0.01","0.0","0.0","88","70","78",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-10",,,"0.00","0.0","0.0","88","60","62",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-11",,,"0.00","0.0","0.0","74","53","60",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-12",,,"0.00","0.0","0.0","64","49","62",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-13",,,"0.00","0.0","0.0","81","51","70",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-14",,,"0.00","0.0","0.0","85","57","70",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-15",,,"0.21","0.0","0.0","74","59","62",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-16",,,"0.05","0.0","0.0","71","55","62",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-17",,,"0.00","0.0","0.0","73","48","66",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-18",,,"0.00","0.0","0.0","78","50","66",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-19",,,"0.07","0.0","0.0","84","63","64",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-20",,,"0.00","0.0","0.0","86","59","73",,,,,,
"USC00179721","WINTHROP, ME US","44.30656","-69.97016","63.4","2021-06-21",,,"0.00","0.0","0.0","88","60","71",,,,,,
