DATE1,DAY_OF_WEEK,SITE_NAME,TOWN,WATERBODY,INSPECTOR_ID,PAY_VOL,SHIFT_START,TRAILERS,SHIFT_END,SHIFT_LENGTH,TOTALINSP,PRCP,TMAX,TMIN,DATE,month,year,SHIFT_START_CATEGORY,SHIFT_END_CATEGORY,ID_COUNT,holiday
2021-06-12,Sat,Launch Drive Cobbosseecontee,Monmouth,Cobbosseecontee Lake,5105,Paid,1900-01-01 07:00:00,5.0,2023-12-05 17:00:00,600,72.0,0.0,64.0,49.0,2021-06-12,6,2021,Early Morning,Late Afternoon,35,0
2021-06-12,Sat,Wilson Pond Road,Monmouth,Wilson Pond,3504,Paid,1900-01-01 13:00:00,3.0,2023-12-05 19:00:00,360,15.0,0.0,64.0,49.0,2021-06-12,6,2021,Afternoon,Evening,109,0
2021-06-12,Sat,Holmes Road Annabessacook,Winthrop,Annabessacook Lake,4769,Paid,1900-01-01 08:00:00,,2023-12-05 18:00:00,600,16.0,0.0,64.0,49.0,2021-06-12,6,2021,Early Morning,Evening,56,0
2021-06-12,Sat,Old Kents Hill Road,Readfield,Torsey Lake,5222,Paid,1900-01-01 13:00:00,1.0,2023-12-05 19:00:00,360,7.0,0.0,64.0,49.0,2021-06-12,6,2021,Afternoon,Evening,16,0
2021-06-12,Sat,East Winthrop Cobbosseecontee,Winthrop,Cobbosseecontee Lake,4715,Paid,1900-01-01 13:00:00,4.0,2023-12-05 19:00:00,360,10.0,0.0,64.0,49.0,2021-06-12,6,2021,Afternoon,Evening,11,0
2021-06-12,Sat,Rt 41 North Basin Maranacook,Readfield,Maranacook Lake,5354,Paid,1900-01-01 13:00:00,10.0,2023-12-05 19:30:00,390,31.0,0.0,64.0,49.0,2021-06-12,6,2021,Afternoon,Evening,15,0
2021-06-12,Sat,Wilson Pond Road,Monmouth,Wilson Pond,4770,Paid,1900-01-01 07:00:00,3.0,2023-12-05 13:00:00,360,6.0,0.0,64.0,49.0,2021-06-12,6,2021,Early Morning,Afternoon,29,0
2021-06-12,Sat,Thorofare Rd,Litchfield,Pleasant Pond,4944,Paid,1900-01-01 07:00:00,4.0,2023-12-05 17:00:00,600,47.0,0.0,64.0,49.0,2021-06-12,6,2021,Early Morning,Late Afternoon,57,0
2021-06-12,Sat,Norcross Point South Basin Maranacook,Winthrop,Maranacook Lake,3796,Paid,1900-01-01 07:00:00,6.0,2023-12-05 17:00:00,600,35.0,0.0,64.0,49.0,2021-06-12,6,2021,Early Morning,Late Afternoon,113,0
2021-06-12,Sat,Beach Road,Monmouth,Cochnewagon Pond,4174,Paid,1900-01-01 07:00:00,2.0,2023-12-05 17:15:00,615,28.0,0.0,64.0,49.0,2021-06-12,6,2021,Early Morning,Late Afternoon,131,0
2021-06-12,Sat,Whippoorwill Road,Litchfield,Woodbury Pond,5304,Paid,1900-01-01 13:00:00,6.0,2023-12-05 19:00:00,360,12.0,0.0,64.0,49.0,2021-06-12,6,2021,Afternoon,Evening,29,0
2021-06-12,Sat,Old Kents Hill Road,Readfield,Torsey Lake,5006,Paid,1900-01-01 07:00:00,1.0,2023-12-05 13:00:00,360,5.0,0.0,64.0,49.0,2021-06-12,6,2021,Early Morning,Afternoon,111,0
2021-06-13,Sun,East Winthrop Cobbosseecontee,Winthrop,Cobbosseecontee Lake,5322,Paid,1900-01-01 07:00:00,1.0,2023-12-05 13:00:00,360,19.0,0.0,81.0,51.0,2021-06-13,6,2021,Early Morning,Afternoon,8,0
2021-06-13,Sun,Whippoorwill Road,Litchfield,Woodbury Pond,4771,Paid,1900-01-01 07:00:00,0.0,2023-12-05 13:00:00,360,45.0,0.0,81.0,51.0,2021-06-13,6,2021,Early Morning,Afternoon,55,0
2021-06-13,Sun,Wilson Pond Road,Monmouth,Wilson Pond,4770,Paid,1900-01-01 07:00:00,2.0,2023-12-05 13:00:00,360,9.0,0.0,81.0,51.0,2021-06-13,6,2021,Early Morning,Afternoon,29,0
2021-06-13,Sun,Holmes Road Annabessacook,Winthrop,Annabessacook Lake,5354,Paid,1900-01-01 08:00:00,2.0,2023-12-05 14:15:00,375,11.0,0.0,81.0,51.0,2021-06-13,6,2021,Early Morning,Afternoon,15,0
2021-06-13,Sun,Thorofare Rd,Litchfield,Pleasant Pond,4944,Paid,1900-01-01 07:00:00,6.0,2023-12-05 17:00:00,600,66.0,0.0,81.0,51.0,2021-06-13,6,2021,Early Morning,Late Afternoon,57,0
2021-06-13,Sun,Old Kents Hill Road,Readfield,Torsey Lake,5353,Paid,1900-01-01 13:00:00,6.0,2023-12-05 19:00:00,360,9.0,0.0,81.0,51.0,2021-06-13,6,2021,Afternoon,Evening,31,0
2021-06-13,Sun,Wilson Pond Road,Monmouth,Wilson Pond,3504,Paid,1900-01-01 13:00:00,3.0,2023-12-05 19:00:00,360,17.0,0.0,81.0,51.0,2021-06-13,6,2021,Afternoon,Evening,109,0
2021-06-13,Sun,East Winthrop Cobbosseecontee,Winthrop,Cobbosseecontee Lake,4715,Paid,1900-01-01 13:30:00,13.0,2023-12-05 19:00:00,330,16.0,0.0,81.0,51.0,2021-06-13,6,2021,Afternoon,Evening,11,0
2021-06-13,Sun,Rt 41 North Basin Maranacook,Readfield,Maranacook Lake,4743,Paid,1900-01-01 13:00:00,19.0,2023-12-05 19:00:00,360,34.0,0.0,81.0,51.0,2021-06-13,6,2021,Afternoon,Evening,7,0
2021-06-13,Sun,Launch Drive Cobbosseecontee,Monmouth,Cobbosseecontee Lake,5105,Paid,1900-01-01 13:00:00,40.0,2023-12-05 19:00:00,360,88.0,0.0,81.0,51.0,2021-06-13,6,2021,Afternoon,Evening,35,0
2021-06-13,Sun,Holmes Road Annabessacook,Winthrop,Annabessacook Lake,4769,Paid,1900-01-01 14:00:00,3.0,2023-12-05 20:00:00,360,4.0,0.0,81.0,51.0,2021-06-13,6,2021,Afternoon,Night,56,0
2021-06-13,Sun,Launch Drive Cobbosseecontee,Monmouth,Cobbosseecontee Lake,4485,Paid,1900-01-01 07:00:00,12.0,2023-12-05 13:00:00,360,61.0,0.0,81.0,51.0,2021-06-13,6,2021,Early Morning,Afternoon,16,0
