DATE1,DAY_OF_WEEK,SITE_NAME,TOWN,WATERBODY,INSPECTOR_ID,PAY_VOL,SHIFT_START,TRAILERS,SHIFT_END,SHIFT_LENGTH,TOTALINSP,PRCP,TMAX,TMIN,TOBS
2021-06-19,Sat,Wilson Pond Road,Monmouth,Wilson Pond,4770,Paid,7:00,1.0,17:00,600,17.0,0.07,84.0,63.0,64.0
2021-06-19,Sat,East Winthrop,Winthrop,Cobbosseecontee Lake,5354,Paid,13:00,10.0,19:20,380,15.0,0.07,84.0,63.0,64.0
2021-06-19,Sat,Whippoorwill Road,Litchfield,Woodbury Pond,5304,Paid,13:00,18.0,19:00,360,7.0,0.07,84.0,63.0,64.0
2021-06-19,Sat,Beach Road,Monmouth,Cochnewagon Pond,4174,Paid,13:00,4.0,19:00,360,19.0,0.07,84.0,63.0,64.0
2021-06-19,Sat,Norcross Point South Basin Maranacook,Winthrop,Maranacook Lake,3796,Paid,7:00,1.0,17:00,600,21.0,0.07,84.0,63.0,64.0
2021-06-19,Sat,Beach Road,Monmouth,Cochnewagon Pond,5306,Paid,7:00,2.0,13:00,360,19.0,0.07,84.0,63.0,64.0
2021-06-19,Sat,Rt 41 North Basin Maranacook,Readfield,Maranacook Lake,5305,Paid,7:00,0.0,13:00,360,6.0,0.07,84.0,63.0,64.0
2021-06-19,Sat,Old Kents Hill Road,Readfield,Torsey Lake,5006,Paid,7:00,1.0,13:00,360,5.0,0.07,84.0,63.0,64.0
2021-06-20,Sun,Old Kents Hill Road,Readfield,Torsey Lake,5222,Paid,7:00,3.0,13:00,360,10.0,0.0,86.0,59.0,73.0
2021-06-20,Sun,East Winthrop,Winthrop,Cobbosseecontee Lake,5322,Paid,7:10,2.0,13:00,350,23.0,0.0,86.0,59.0,73.0
2021-06-20,Sun,Whippoorwill Road,Litchfield,Woodbury Pond,4771,Paid,7:00,2.0,13:00,360,50.0,0.0,86.0,59.0,73.0
2021-06-20,Sun,Wilson Pond Road,Monmouth,Wilson Pond,4770,Paid,7:00,0.0,17:00,600,19.0,0.0,86.0,59.0,73.0
2021-06-20,Sun,Launch Drive,Monmouth,Cobbosseecontee Lake,4485,Paid,7:00,6.0,13:00,360,72.0,0.0,86.0,59.0,73.0
2021-06-20,Sun,Thorofare Rd,Litchfield,Pleasant Pond,4944,Paid,7:00,8.0,17:00,600,93.0,0.0,86.0,59.0,73.0
2021-06-20,Sun,Rt 41 North Basin Maranacook,Readfield,Maranacook Lake,5353,Paid,13:00,10.0,19:00,360,43.0,0.0,86.0,59.0,73.0
2021-06-20,Sun,Launch Drive,Monmouth,Cobbosseecontee Lake,5105,Paid,13:00,40.0,19:00,360,75.0,0.0,86.0,59.0,73.0
2021-06-20,Sun,Augusta West Kampground,Winthrop,Annabessacook Lake,4769,Paid,14:00,1.0,20:00,360,4.0,0.0,86.0,59.0,73.0
2021-06-20,Sun,Whippoorwill Road,Litchfield,Woodbury Pond,5304,Paid,13:00,14.0,19:00,360,7.0,0.0,86.0,59.0,73.0
2021-06-20,Sun,East Winthrop,Winthrop,Cobbosseecontee Lake,5354,Paid,13:00,16.0,19:20,380,26.0,0.0,86.0,59.0,73.0
2021-06-20,Sun,Beach Road,Monmouth,Cochnewagon Pond,4174,Paid,13:00,10.0,19:00,360,48.0,0.0,86.0,59.0,73.0
2021-06-20,Sun,Norcross Point South Basin Maranacook,Winthrop,Maranacook Lake,3796,Paid,7:00,6.0,17:00,600,51.0,0.0,86.0,59.0,73.0
2021-06-20,Sun,Augusta West Kampground,Winthrop,Annabessacook Lake,4743,Paid,8:00,0.0,14:00,360,1.0,0.0,86.0,59.0,73.0
2021-06-20,Sun,Rt 41 North Basin Maranacook,Readfield,Maranacook Lake,5305,Paid,7:00,6.0,13:00,360,38.0,0.0,86.0,59.0,73.0
2021-06-20,Sun,Beach Road,Monmouth,Cochnewagon Pond,5306,Paid,7:00,4.0,13:00,360,30.0,0.0,86.0,59.0,73.0
2021-06-20,Sun,Old Kents Hill Road,Readfield,Torsey Lake,5006,Paid,13:00,1.0,19:00,360,11.0,0.0,86.0,59.0,73.0
2021-06-25,Fri,Whippoorwill Road,Litchfield,Woodbury Pond,4771,Paid,12:00,2.0,18:00,360,9.0,0.0,79.0,52.0,62.0
2021-06-25,Fri,Augusta West Kampground,Winthrop,Annabessacook Lake,4769,Paid,12:00,3.0,18:00,360,7.0,0.0,79.0,52.0,62.0
2021-06-25,Fri,Launch Drive,Monmouth,Cobbosseecontee Lake,3796,Paid,12:00,5.0,18:00,360,28.0,0.0,79.0,52.0,62.0
2021-06-25,Fri,East Winthrop,Winthrop,Cobbosseecontee Lake,4485,Paid,12:00,0.0,18:00,360,7.0,0.0,79.0,52.0,62.0
2021-06-25,Fri,Thorofare Rd,Litchfield,Pleasant Pond,3504,Paid,12:00,6.0,18:00,360,17.0,0.0,79.0,52.0,62.0
2021-06-25,Fri,Old Kents Hill Road,Readfield,Torsey Lake,1292,Volunteer,17:00,1.0,19:00,120,1.0,0.0,79.0,52.0,62.0
2021-06-26,Sat,East Winthrop,Winthrop,Cobbosseecontee Lake,5367,Paid,7:00,0.0,13:00,360,4.0,0.0,70.0,62.0,66.0
2021-06-26,Sat,Old Kents Hill Road,Readfield,Torsey Lake,5222,Paid,7:00,1.0,13:00,360,6.0,0.0,70.0,62.0,66.0
2021-06-26,Sat,Whippoorwill Road,Litchfield,Woodbury Pond,4771,Paid,7:00,9.0,17:00,600,51.0,0.0,70.0,62.0,66.0
2021-06-26,Sat,Wilson Pond Road,Monmouth,Wilson Pond,4770,Paid,7:00,6.0,17:00,600,24.0,0.0,70.0,62.0,66.0
2021-06-26,Sat,Thorofare Rd,Litchfield,Pleasant Pond,3504,Paid,8:30,13.0,18:30,600,73.0,0.0,70.0,62.0,66.0
2021-06-26,Sat,Launch Drive,Monmouth,Cobbosseecontee Lake,4743,Paid,14:00,,19:00,300,15.0,0.0,70.0,62.0,66.0
2021-06-26,Sat,Launch Drive,Monmouth,Cobbosseecontee Lake,5304,Paid,13:00,15.0,19:00,360,26.0,0.0,70.0,62.0,66.0
2021-06-26,Sat,Augusta West Kampground,Winthrop,Annabessacook Lake,4769,Paid,8:00,,18:15,615,13.0,0.0,70.0,62.0,66.0
2021-06-26,Sat,Rt 41 North Basin Maranacook,Readfield,Maranacook Lake,5354,Paid,7:00,2.0,17:10,610,10.0,0.0,70.0,62.0,66.0
2021-06-26,Sat,Launch Drive,Monmouth,Cobbosseecontee Lake,4485,Paid,7:00,4.0,13:00,360,63.0,0.0,70.0,62.0,66.0
2021-06-26,Sat,Norcross Point South Basin Maranacook,Winthrop,Maranacook Lake,3796,Paid,6:45,3.0,17:00,615,35.0,0.0,70.0,62.0,66.0
2021-06-26,Sat,Old Kents Hill Road,Readfield,Torsey Lake,5006,Paid,13:00,2.0,19:00,360,3.0,0.0,70.0,62.0,66.0
2021-06-27,Sun,Whippoorwill Road,Litchfield,Woodbury Pond,4771,Paid,7:00,1.0,13:00,360,51.0,0.01,80.0,66.0,78.0
2021-06-27,Sun,East Winthrop,Winthrop,Cobbosseecontee Lake,5367,Paid,7:00,1.0,13:00,360,33.0,0.01,80.0,66.0,78.0
2021-06-27,Sun,Wilson Pond Road,Monmouth,Wilson Pond,4770,Paid,7:00,0.0,17:00,600,20.0,0.01,80.0,66.0,78.0
2021-06-27,Sun,Thorofare Rd,Litchfield,Pleasant Pond,4944,Paid,7:00,5.0,17:00,600,78.0,0.01,80.0,66.0,78.0
2021-06-27,Sun,Augusta West Kampground,Winthrop,Annabessacook Lake,4769,Paid,8:00,1.0,18:00,600,15.0,0.01,80.0,66.0,78.0
