SITE_NAME,DATE1,DAY_OF_WEEK,INSPECTOR_ID,PAY_VOL,SHIFT_START,SHIFT_END,TOTALINSP,NUMINVASIVE,TOWN,WATERBODY,SHIFT_LENGTH,DATE,month,year
East Winthrop,06/26/2021,Sat,5367,1,07:00,13:00,4.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2021-06-26,6,2021
Wilson Pond Road,06/26/2021,Sat,4770,1,07:00,17:00,24.0,0.0,Monmouth,Wilson Pond,600.0,2021-06-26,6,2021
Norcross Point South Basin Maranacook,06/26/2021,Sat,3796,1,06:45,17:00,35.0,0.0,Winthrop,Maranacook Lake,615.0,2021-06-26,6,2021
Launch Drive,06/26/2021,Sat,4743,1,14:00,19:00,15.0,0.0,Launch Drive,Cobbosseecontee Lake,300.0,2021-06-26,6,2021
Augusta West Kampground,06/27/2021,Sun,4769,1,08:00,18:00,15.0,0.0,Winthrop,Annabessacook Lake,600.0,2021-06-27,6,2021
Wilson Pond Road,06/27/2021,Sun,4770,1,07:00,17:00,20.0,0.0,Monmouth,Wilson Pond,600.0,2021-06-27,6,2021
East Winthrop,06/27/2021,Sun,5367,1,07:00,13:00,33.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2021-06-27,6,2021
Thorofare Rd,06/27/2021,Sun,4944,1,07:00,17:00,78.0,0.0,Litchfield,Pleasant Pond,600.0,2021-06-27,6,2021
East Winthrop,06/27/2021,Sun,3504,1,13:00,19:00,33.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2021-06-27,6,2021
Launch Drive,06/27/2021,Sun,5304,1,13:00,19:00,67.0,0.0,Launch Drive,Cobbosseecontee Lake,360.0,2021-06-27,6,2021
Old Kents Hill Road,06/27/2021,Sun,5222,1,13:00,19:00,3.0,0.0,Readfield,Torsey Lake,360.0,2021-06-27,6,2021
Launch Drive,06/27/2021,Sun,4485,1,07:00,13:00,50.0,0.0,Launch Drive,Cobbosseecontee Lake,360.0,2021-06-27,6,2021
Whippoorwill Road,06/27/2021,Sun,5386,1,13:00,19:02,69.0,0.0,Litchfield,Woodbury Pond,362.0,2021-06-27,6,2021
Launch Drive,06/27/2021,Sun,3796,1,05:30,06:30,26.0,0.0,Launch Drive,Cobbosseecontee Lake,60.0,2021-06-27,6,2021
Norcross Point South Basin Maranacook,06/27/2021,Sun,3796,1,07:00,17:00,44.0,0.0,Winthrop,Maranacook Lake,600.0,2021-06-27,6,2021
Whippoorwill Road,06/27/2021,Sun,4771,1,07:00,13:00,51.0,0.0,Litchfield,Woodbury Pond,360.0,2021-06-27,6,2021
Beach Road,06/27/2021,Sun,4174,1,15:00,19:00,32.0,0.0,Monmouth,Cochnewagon Pond,240.0,2021-06-27,6,2021
Rt 41 North Basin Maranacook,06/27/2021,Sun,5354,1,07:00,17:35,37.0,0.0,Readfield,Maranacook Lake,635.0,2021-06-27,6,2021
Old Kents Hill Road,07/02/2021,Fri,4771,1,12:00,14:15,2.0,0.0,Readfield,Torsey Lake,135.0,2021-07-02,7,2021
Whippoorwill Road,07/02/2021,Fri,3504,1,12:00,14:00,0.0,0.0,Litchfield,Woodbury Pond,120.0,2021-07-02,7,2021
Launch Drive,07/02/2021,Fri,3796,1,12:00,16:00,11.0,0.0,Launch Drive,Cobbosseecontee Lake,240.0,2021-07-02,7,2021
East Winthrop,07/02/2021,Fri,4485,1,12:00,15:20,2.0,0.0,Winthrop,Cobbosseecontee Lake,200.0,2021-07-02,7,2021
Augusta West Kampground,07/02/2021,Fri,4769,1,12:00,16:00,0.0,0.0,Winthrop,Annabessacook Lake,240.0,2021-07-02,7,2021
Old Kents Hill Road,07/02/2021,Fri,1292,0,08:00,10:00,1.0,0.0,Readfield,Torsey Lake,120.0,2021-07-02,7,2021
Thorofare Rd,07/02/2021,Fri,5105,1,12:00,14:00,0.0,0.0,Litchfield,Pleasant Pond,120.0,2021-07-02,7,2021
Old Kents Hill Road,07/03/2021,Sat,5006,1,13:00,19:00,9.0,0.0,Readfield,Torsey Lake,360.0,2021-07-03,7,2021
Rt 41 North Basin Maranacook,07/03/2021,Sat,5222,1,07:00,13:00,5.0,0.0,Readfield,Maranacook Lake,360.0,2021-07-03,7,2021
Norcross Point South Basin Maranacook,07/03/2021,Sat,3796,1,07:00,13:00,13.0,0.0,Winthrop,Maranacook Lake,360.0,2021-07-03,7,2021
Whippoorwill Road,07/03/2021,Sat,5105,1,07:00,13:00,11.0,0.0,Litchfield,Woodbury Pond,360.0,2021-07-03,7,2021
East Winthrop,07/03/2021,Sat,3504,1,13:00,19:00,5.0,0.0,Winthrop,Cobbosseecontee Lake,360.0,2021-07-03,7,2021
